County ,County Code,Media Market,Newspaper,Year Code,Winner,Loser,endorsewin,countyid
Baker,2,Jacksonville,Florida Times-Union,2014,1,0,1,22014
Bradford,4,Jacksonville,Florida Times-Union,2014,1,0,1,42014
Clay,10,Jacksonville,Florida Times-Union,2014,1,0,1,102014
Columbia,12,Jacksonville,Florida Times-Union,2014,1,0,1,122014
Duval,16,Jacksonville,Florida Times-Union,2014,1,0,1,162014
Nassau,45,Jacksonville,Florida Times-Union,2014,1,0,1,452014
Putnam,54,Jacksonville,Florida Times-Union,2014,1,0,1,542014
St. Johns,58,Jacksonville,Florida Times-Union,2014,1,0,1,582014
Union,63,Jacksonville,Florida Times-Union,2014,1,0,1,632014
Charlotte,8,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,82014
Collier,11,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,112014
De Soto,14,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,142014
Glades,22,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,222014
Hendry,26,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,262014
Lee,36,Ft. Myers/Naples,Naples Daily News,2014,1,0,1,362014
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,52014
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,182014
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,352014
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,422014
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,482014
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,492014
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,572014
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,602014
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2014,0,1,0,642014
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2014,9,9,0,172014
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2014,9,9,0,462014
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2014,9,9,0,552014
