"ElectionDate","Month","Day","Year","RaceCode","id","OfficeDesc","CountyCode","countynum","CountyName","NYT Mention","TBT Mention","Salience"
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","ALA",1,"Alachua",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","BAK",2,"Baker",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","BAY",3,"Bay",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","BRA",4,"Bradford",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","BRE",5,"Brevard",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","BRO",6,"Broward",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CAL",7,"Calhoun",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CHA",8,"Charlotte",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CIT",9,"Citrus",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CLA",10,"Clay",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CLL",11,"Collier",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","CLM",12,"Columbia",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","DAD",13,"Miami-Dade",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","DES",14,"Desoto",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","DIX",15,"Dixie",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","DUV",16,"Duval",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","ESC",17,"Escambia",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","FLA",18,"Flagler",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","FRA",19,"Franklin",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","GAD",20,"Gadsden",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","GIL",21,"Gilchrist",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","GLA",22,"Glades",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","GUL",23,"Gulf",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HAM",24,"Hamilton",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HAR",25,"Hardee",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HEN",26,"Hendry",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HER",27,"Hernando",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HIG",28,"Highlands",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HIL",29,"Hillsborough",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","HOL",30,"Holmes",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","IND",31,"Indian River",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","JAC",32,"Jackson",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","JEF",33,"Jefferson",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LAF",34,"Lafayette",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LAK",35,"Lake",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LEE",36,"Lee",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LEO",37,"Leon",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LEV",38,"Levy",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","LIB",39,"Liberty",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","MAD",40,"Madison",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","MAN",41,"Manatee",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","MON",42,"Monroe",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","MRN",43,"Marion",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","MRT",44,"Martin",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","NAS",45,"Nassau",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","OKA",46,"Okaloosa",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","OKE",47,"Okeechobee",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","ORA",48,"Orange",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","OSC",49,"Osceola",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","PAL",50,"Palm Beach",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","PAS",51,"Pasco",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","PIN",52,"Pinellas",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","POL",53,"Polk",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","PUT",54,"Putnam",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","SAN",55,"Santa Rosa",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","SAR",56,"Sarasota",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","SEM",57,"Seminole",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","STJ",58,"St. Johns",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","STL",59,"St. Lucie",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","SUM",60,"Sumter",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","SUW",61,"Suwannee",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","TAY",62,"Taylor",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","UNI",63,"Union",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","VOL",64,"Volusia",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","WAK",65,"Wakulla",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","WAL",66,"Walton",,,
"11/7/1978",11,7,1978,1,"A011978","Revision of Florida Constitution  (basic document)","WAS",67,"Washington",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","ALA",1,"Alachua",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","BAK",2,"Baker",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","BAY",3,"Bay",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","BRA",4,"Bradford",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","BRE",5,"Brevard",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","BRO",6,"Broward",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","CAL",7,"Calhoun",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","CHA",8,"Charlotte",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","CIT",9,"Citrus",,,
"11/7/1978",11,7,1978,2,"A021978","Declaration of rights  (rev. of Art. I","CLA",10,"Clay",,,
